Customer_ID,Name,Account_Number,IFSC_Code,Account_City,Account_Type,Status,Contact,Password,Created_At
HJY1640200,Indali Gade,62220972609261,SSR1IN0006,Pune,Current,Active,8250715164,8250715164,2021-05-30
PWG2541870,Anya Sheth,70353675111213,SSR1IN0011,Indore,Savings,Active,9430066197,9430066197,2022-09-26
YIU9489573,Jhalak Wali,77391503491178,SSR1IN0001,Mumbai,Savings,Dormant,7171459896,7171459896,2023-10-21
LIA6746211,Joshua Pathak,70128835034928,SSR1IN0011,Indore,Savings,Active,8481445898,8481445898,2023-12-08
YXC9097772,Aishani Wali,63682615616518,SSR1IN0008,Lucknow,Savings,Active,7788019869,7788019869,2019-07-28
GRD9122553,Gunbir Oza,44272940150421,SSR1IN0008,Lucknow,Savings,Active,8376423865,8376423865,2022-08-16
BIL6572724,Yasti Goyal,47582017055584,SSR1IN0012,Nagpur,Savings,Active,8602799767,8602799767,2025-02-17
JVT8309338,Madhav Jain,80918476569898,SSR1IN0012,Nagpur,Current,Active,8096632733,8096632733,2018-06-14
CYM1628313,Yatin Tella,63093907469377,SSR1IN0002,Delhi,Current,Active,9894109148,9894109148,2021-09-03
STJ3424608,Mohammed Parikh,82774455924222,SSR1IN0002,Delhi,Current,Active,9583883577,9583883577,2022-10-11
ODV3329595,Varsha Pall,41252401417586,SSR1IN0013,Chandigarh,Current,Active,7960246696,7960246696,2023-08-14
PJB9747255,Chandresh Sengupta,93252363139736,SSR1IN0005,Kolkata,Savings,Active,8169056118,8169056118,2018-07-10
RCV9954002,Fitan Aurora,22704712929490,SSR1IN0009,Patna,Current,Dormant,7413871614,7413871614,2021-06-28
RMV3258037,Karan Garde,16067321944532,SSR1IN0009,Patna,Savings,Closed,9698521678,9698521678,2021-09-28
KPN9075186,Wazir Chahal,36233582014436,SSR1IN0007,Hyderabad,Savings,Active,9593696970,9593696970,2022-10-01
LUK3222024,Leela Sood,81313782864517,SSR1IN0005,Kolkata,Current,Active,8111785242,8111785242,2016-02-18
RQI7965336,Jeet Peri,19973848711551,SSR1IN0005,Kolkata,Savings,Active,9523094899,9523094899,2017-03-31
KHX7336463,Niharika Warrior,31252592601156,SSR1IN0007,Hyderabad,Current,Active,9353472159,9353472159,2020-11-23
WUQ1373840,Ekalinga Murty,76694041847980,SSR1IN0012,Nagpur,Current,Active,9707033812,9707033812,2023-06-03
VYM1861003,Aditya Narang,14775414852664,SSR1IN0007,Hyderabad,Savings,Active,8220470286,8220470286,2023-11-05
RFD3493151,Urmi Garg,78216036999393,SSR1IN0004,Chennai,Savings,Active,8246108656,8246108656,2023-03-07
IAJ8451807,Jagdish Sen,19015411733176,SSR1IN0009,Patna,Current,Active,8042664473,8042664473,2019-02-09
YBX8727717,Janaki Ratti,37422919604293,SSR1IN0001,Mumbai,Current,Active,7768199391,7768199391,2021-02-17
SWY2775971,Aarav Sridhar,18180335622910,SSR1IN0007,Hyderabad,Current,Active,8938176738,8938176738,2019-02-14
ZCN8235512,Nimrat Kothari,33285622860184,SSR1IN0002,Delhi,Savings,Active,9020336200,9020336200,2024-10-03
QPZ1837699,Jagdish Dani,62355137611167,SSR1IN0005,Kolkata,Savings,Active,9032231008,9032231008,2018-03-21
CHJ1485380,Agastya Dugar,13638298137010,SSR1IN0013,Chandigarh,Current,Active,7366404295,7366404295,2021-03-11
WNN9493562,Krishna Wable,54127571932054,SSR1IN0005,Kolkata,Current,Active,7521003431,7521003431,2021-01-02
RFZ8993620,Upasna Dubey,35070773532520,SSR1IN0001,Mumbai,Savings,Active,9801833527,9801833527,2024-08-02
FAT9717308,Aadhya Chandran,44489693075287,SSR1IN0005,Kolkata,Current,Active,8109021005,8109021005,2023-01-09
RLR2553719,Kalpit Loyal,64389056841807,SSR1IN0006,Pune,Current,Active,8951555374,8951555374,2015-02-26
HWH7982117,Rushil Om,86208273479356,SSR1IN0002,Delhi,Current,Active,7736874428,7736874428,2018-05-08
